perturbation,dataset,n_cells,closest_severity,recovery_score,disease_score,dist_healthy,dist_mild,dist_moderate,dist_severe,dist_fatal,dist_recovered,sim_healthy,sim_mild,sim_moderate,sim_severe,sim_fatal,sim_recovered
TRDMT1_P1P2-1|TRDMT1_P1P2-2,hct116,7,recovered,20.792648,-0.25323236,80.70759,81.77679,80.86033,81.42483,80.69608,78.88967,0.012238765,0.0120806815,0.012215929,0.012132267,0.012240489,0.012517262
MAEL_P1P2-1|MAEL_P1P2-2,hct116,8,recovered,20.792404,-0.62957865,81.26729,82.36378,81.47932,82.02796,81.280464,79.51209,0.012155499,0.011995617,0.012124252,0.0120441355,0.012153553,0.012420494
TACC2_ENST00000360561.3-1|TACC2_ENST00000360561.3-2,hct116,5,recovered,20.792297,-1.8867242,84.45755,85.610794,84.787506,85.34504,84.682014,82.929886,0.011701716,0.011545905,0.011656709,0.011581441,0.011671061,0.011914707
TRIM29_P1-1|TRIM29_P1-2,hct116,6,recovered,20.792267,-1.4469868,81.659515,82.80738,81.89146,82.52097,81.76652,80.02064,0.012097821,0.011932123,0.01206397,0.01197304,0.01208218,0.012342534
NHLH1_P1P2-1|NHLH1_P1P2-2,hct116,5,recovered,20.79215,-0.8955964,80.56659,81.69755,80.80589,81.36826,80.65105,78.83139,0.012259922,0.012092257,0.012224059,0.012140598,0.01224724,0.012526401
FLT4_P1P2-1|FLT4_P1P2-2,hct116,6,recovered,20.792107,-0.97773564,81.64235,82.770134,81.76607,82.44405,81.64235,79.941345,0.012100333,0.011937428,0.012082246,0.011984077,0.012100333,0.012354625
BACE1_P1P2-1|BACE1_P1P2-2,hct116,6,recovered,20.7916,0.88139266,79.228615,80.20271,79.265236,79.8095,79.15761,77.22156,0.012464381,0.01231486,0.012458694,0.012374782,0.012475423,0.0127842
PUM2_P1P2-1|PUM2_P1P2-2,hct116,8,recovered,20.791302,-0.25049,81.94756,82.99247,82.11844,82.65369,81.990486,80.15768,0.01205581,0.011905829,0.012031025,0.011954046,0.012049574,0.012321693
NHSL1_P2-1|NHSL1_P2-2,hct116,7,recovered,20.791256,-0.6557896,81.63172,82.70516,81.81922,82.39239,81.667816,79.888214,0.01210189,0.011946695,0.012074492,0.011991502,0.012096606,0.012362741
E4F1_P1P2-1|E4F1_P1P2-2,hct116,6,recovered,20.791162,0.37379688,80.88994,81.92025,80.99614,81.52459,80.82247,78.99294,0.012211513,0.012059781,0.012195696,0.0121176,0.012221581,0.012501103
KANK4_P1P2-1|KANK4_P1P2-2,hct116,10,recovered,20.789333,-1.0590634,81.35289,82.48706,81.56964,82.167854,81.46405,79.65701,0.012142865,0.0119779045,0.012110989,0.012023876,0.012126496,0.012398178
SLC2A11_P1P2-1|SLC2A11_P1P2-2,hct116,6,recovered,20.789318,-1.4672724,84.08372,85.22167,84.452805,84.9231,84.136475,82.49616,0.01175313,0.011598012,0.011702366,0.0116383135,0.011745847,0.011976599
